,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
265,Skyline District,29.7598,-95.3633,Hearsay Gastro Lounge,29.762866673217204,-95.3617628898496,New American Restaurant
266,Skyline District,29.7598,-95.3633,The Original OKRA Charity Saloon,29.762345183648176,-95.36124908454741,Cocktail Bar
267,Skyline District,29.7598,-95.3633,Starbucks,29.76027358,-95.36415507,Coffee Shop
268,Skyline District,29.7598,-95.3633,La Carafe,29.76304130615031,-95.36190399409116,Wine Bar
269,Skyline District,29.7598,-95.3633,Starbucks,29.76000112,-95.36558491,Coffee Shop
270,Skyline District,29.7598,-95.3633,Lone Star Taco Co.,29.75991427897547,-95.36246599058904,Taco Place
271,Skyline District,29.7598,-95.3633,Houstonian Lite,29.760524419286174,-95.36572750369359,Gym
272,Skyline District,29.7598,-95.3633,Dean's Downtown,29.761683090059513,-95.36114572719661,Bar
273,Skyline District,29.7598,-95.3633,The Lancaster Hotel,29.761408733425917,-95.36501573896328,Hotel
274,Skyline District,29.7598,-95.3633,El Big Bad,29.761239807531354,-95.36266274021814,Mexican Restaurant
275,Skyline District,29.7598,-95.3633,Hubcap Grill,29.760046793595613,-95.36056942132525,Burger Joint
276,Skyline District,29.7598,-95.3633,Chick-fil-A,29.760148,-95.365628,Food Service
277,Skyline District,29.7598,-95.3633,Wortham Theater Center,29.76335289300658,-95.36566257476807,Theater
278,Skyline District,29.7598,-95.3633,Whataburger,29.75681458741339,-95.3656786680221,Burger Joint
279,Skyline District,29.7598,-95.3633,The Blue Fish Bayou Place,29.7620478211349,-95.36619257500463,Sushi Restaurant
280,Skyline District,29.7598,-95.3633,Magnolia Hotel 2nd Floor Caroline Room,29.75909419467693,-95.36157488822937,Hotel Bar
281,Skyline District,29.7598,-95.3633,Jones Plaza,29.761345600653456,-95.36593190955779,Park
282,Skyline District,29.7598,-95.3633,Roma's Pizza,29.762491622811933,-95.36092701553515,Pizza Place
283,Skyline District,29.7598,-95.3633,Crystal Ballroom @ The Rice Hotel,29.760076204862887,-95.36280536024498,Hotel Bar
284,Skyline District,29.7598,-95.3633,Niko Niko's,29.762626242021476,-95.36210097529467,Greek Restaurant
285,Skyline District,29.7598,-95.3633,Le Méridien Houston Downtown,29.7569038,-95.362806,Hotel
286,Skyline District,29.7598,-95.3633,Batanga,29.762524982578825,-95.36144003983192,Latin American Restaurant
287,Skyline District,29.7598,-95.3633,JPMorgan Chase Tower,29.760241902125625,-95.36390868948274,Bank
288,Skyline District,29.7598,-95.3633,Birraporetti's,29.762461731403604,-95.36466977857937,Italian Restaurant
289,Skyline District,29.7598,-95.3633,Dimassi's Mediterranean Buffet,29.758283056150198,-95.36591499676368,Mediterranean Restaurant
290,Skyline District,29.7598,-95.3633,Houston Watch Co.,29.763274017872376,-95.36066119479415,Bar
291,Skyline District,29.7598,-95.3633,Tongue-Cut Sparrow,29.762213147856496,-95.36140864517033,Cocktail Bar
292,Skyline District,29.7598,-95.3633,Char Bar,29.762598543087847,-95.36177880685885,Bar
293,Skyline District,29.7598,-95.3633,Irma's Southwest Grill,29.757877021367836,-95.35915482511396,Mexican Restaurant
294,Skyline District,29.7598,-95.3633,BirdDog Saint,29.7605099001538,-95.36237686872482,Bar
295,Skyline District,29.7598,-95.3633,Miller's Cafe,29.75653581200845,-95.36427900236197,Burger Joint
296,Skyline District,29.7598,-95.3633,La Fisheria,29.763684443834443,-95.36218621584267,Mexican Restaurant
297,Skyline District,29.7598,-95.3633,Houston Grand Opera,29.76362297525448,-95.36520404590503,Concert Hall
298,Skyline District,29.7598,-95.3633,Craft Beer Cellar Houston,29.763562011684808,-95.36081181900578,Beer Store
299,Skyline District,29.7598,-95.3633,Jimmy John's,29.758028392243542,-95.36398866805777,Sandwich Place
300,Skyline District,29.7598,-95.3633,Public Services Wine & Whiskey,29.763508796585683,-95.36113463503298,Wine Bar
301,Skyline District,29.7598,-95.3633,Bravery Chef Hall,29.761564,-95.362132,Food Court
302,Skyline District,29.7598,-95.3633,Houston Ballet Center for Dance,29.76359662494612,-95.36435930182053,Dance Studio
303,Skyline District,29.7598,-95.3633,Notsuoh,29.761850320557716,-95.36110624591885,Bar
304,Skyline District,29.7598,-95.3633,Otto's BBQ,29.760247671887775,-95.3641145113973,BBQ Joint
305,Skyline District,29.7598,-95.3633,Potbelly Sandwich Shop,29.7567949227741,-95.36578488424459,Sandwich Place
306,Skyline District,29.7598,-95.3633,Sambuca,29.760531884493023,-95.36333483525709,New American Restaurant
307,Skyline District,29.7598,-95.3633,Chipotle Mexican Grill,29.76023602568847,-95.36261549538631,Mexican Restaurant
308,Skyline District,29.7598,-95.3633,Brooklyn Meatball Company,29.75732460146048,-95.36526623748942,Italian Restaurant
309,Skyline District,29.7598,-95.3633,Christian’s Tailgate Bar & Grill,29.761966475645476,-95.36028432787866,Burger Joint
310,Skyline District,29.7598,-95.3633,Prohibition Supperclub & Bar,29.760660428847853,-95.36168973301417,New American Restaurant
311,Skyline District,29.7598,-95.3633,Kelsey-Seybold Clinic - Downtown at The Shops,29.75554587157065,-95.36262870064445,Doctor's Office
312,Skyline District,29.7598,-95.3633,Sandwich & Tapioca,29.760027604415562,-95.36248820418245,Vietnamese Restaurant
313,Skyline District,29.7598,-95.3633,Little Dipper,29.76214932111673,-95.36090337905294,Cocktail Bar
314,Skyline District,29.7598,-95.3633,The Nightingale Room,29.7620072846443,-95.36102150226536,Lounge
315,Skyline District,29.7598,-95.3633,Barnaby's Cafe,29.763241691061875,-95.36239097852939,Café
316,Skyline District,29.7598,-95.3633,Morton's The Steakhouse,29.75674930903216,-95.3641144068024,Steakhouse
317,Skyline District,29.7598,-95.3633,La Calle Tacos,29.76346465520545,-95.36066293716429,Taco Place
318,Skyline District,29.7598,-95.3633,Minuti Coffee,29.760097511258376,-95.36283734935914,Coffee Shop
319,Skyline District,29.7598,-95.3633,"The Sam Houston Hotel, Curio Collection by Hilton",29.7600324,-95.360273,Hotel
320,Skyline District,29.7598,-95.3633,The Commoner,29.76122730675275,-95.36158838179325,Cocktail Bar
321,Skyline District,29.7598,-95.3633,Revention Music Center,29.76237785917783,-95.36753305616743,Music Venue
322,Skyline District,29.7598,-95.3633,"Hotel ICON, Autograph Collection",29.7625648,-95.3606988,Hotel
323,Skyline District,29.7598,-95.3633,ēT Premium Grill,29.760249943558897,-95.36414619859939,Burger Joint
324,Skyline District,29.7598,-95.3633,Henke & Pillot,29.763101480352578,-95.36202532179416,Lounge
325,Skyline District,29.7598,-95.3633,Market Square Bar & Grill,29.7624723151057,-95.36206710683173,Burger Joint
326,Skyline District,29.7598,-95.3633,Warren's Inn,29.76257385844752,-95.36175382725027,Bar
327,Skyline District,29.7598,-95.3633,CVS pharmacy,29.763184,-95.362728,Pharmacy
328,Skyline District,29.7598,-95.3633,Starbucks,29.755466,-95.36317,Coffee Shop
329,Skyline District,29.7598,-95.3633,Wok & Roll,29.757190037055892,-95.36576151261133,Chinese Restaurant
330,Skyline District,29.7598,-95.3633,Tranquility Park,29.760053085786517,-95.36806799414663,Park
331,Skyline District,29.7598,-95.3633,Cafe Express,29.759298673347665,-95.3630256503292,Café
332,Skyline District,29.7598,-95.3633,Shay McElroy's Irish Pub,29.76027818212674,-95.36232599766967,Bar
333,Theater District,29.761993,-95.366302,Wortham Theater Center,29.76335289300658,-95.36566257476807,Theater
334,Theater District,29.761993,-95.366302,Alley Theatre,29.761671455030886,-95.36531338369234,Theater
335,Theater District,29.761993,-95.366302,Jones Hall,29.761239817549807,-95.36530148121828,Concert Hall
336,Theater District,29.761993,-95.366302,Houston Grand Opera,29.76362297525448,-95.36520404590503,Concert Hall
337,Theater District,29.761993,-95.366302,Houston Symphony,29.7608909,-95.36500439999999,Performing Arts Venue
338,Theater District,29.761993,-95.366302,The Blue Fish Bayou Place,29.7620478211349,-95.36619257500463,Sushi Restaurant
339,Theater District,29.761993,-95.366302,Perbacco,29.760257437720647,-95.36477339516325,Italian Restaurant
340,Theater District,29.761993,-95.366302,Revention Music Center,29.76237785917783,-95.36753305616743,Music Venue
341,Theater District,29.761993,-95.366302,Hobby Center for the Performing Arts,29.761525580635887,-95.36937625723134,Performing Arts Venue
342,Theater District,29.761993,-95.366302,Houston Ballet Center for Dance,29.76359662494612,-95.36435930182053,Dance Studio
343,Theater District,29.761993,-95.366302,Birraporetti's,29.762461731403604,-95.36466977857937,Italian Restaurant
344,Theater District,29.761993,-95.366302,Jones Plaza,29.761345600653456,-95.36593190955779,Park
345,Theater District,29.761993,-95.366302,Frank's Pizza,29.76139343862214,-95.36272077712701,Pizza Place
346,Theater District,29.761993,-95.366302,Houstonian Lite,29.760524419286174,-95.36572750369359,Gym
347,Theater District,29.761993,-95.366302,The Lancaster Hotel,29.761408733425917,-95.36501573896328,Hotel
348,Theater District,29.761993,-95.366302,Frank's Backyard,29.76165425656305,-95.36246784840213,Bar
349,Theater District,29.761993,-95.366302,Theatre Under The Stars,29.761486842951108,-95.37006806125714,Theater
350,Theater District,29.761993,-95.366302,Starbucks,29.76000112,-95.36558491,Coffee Shop
351,Theater District,29.761993,-95.366302,City Hall Farmer's Market,29.759163880661635,-95.36844616089815,Farmers Market
352,Theater District,29.761993,-95.366302,Treebeards,29.762217,-95.361959,Southern / Soul Food Restaurant
353,Theater District,29.761993,-95.366302,Chick-fil-A,29.760148,-95.365628,Food Service
354,Theater District,29.761993,-95.366302,Market Square Park,29.762556195955845,-95.36213706082965,Park
355,Theater District,29.761993,-95.366302,Flying Saucer Draught Emporium,29.759116074765853,-95.36321640522559,Beer Bar
356,Theater District,29.761993,-95.366302,La Carafe,29.76304130615031,-95.36190399409116,Wine Bar
357,Theater District,29.761993,-95.366302,Mango Tree Thai Bistro,29.7582507801515,-95.36538711279135,Thai Restaurant
358,Theater District,29.761993,-95.366302,Sesquicentennial Park,29.764213731097716,-95.36579393552005,Park
359,Theater District,29.761993,-95.366302,Hearsay Gastro Lounge,29.762866673217204,-95.3617628898496,New American Restaurant
360,Theater District,29.761993,-95.366302,Tranquility Park,29.760053085786517,-95.36806799414663,Park
361,Theater District,29.761993,-95.366302,Finn Hall,29.758677697696452,-95.36384585056344,Food Court
362,Theater District,29.761993,-95.366302,Becks Prime,29.75818486875766,-95.36617176399422,Burger Joint
363,Theater District,29.761993,-95.366302,Starbucks,29.76027358,-95.36415507,Coffee Shop
364,Theater District,29.761993,-95.366302,Local Foods,29.7608788801562,-95.36204248120119,Bistro
365,Theater District,29.761993,-95.366302,Hard Rock Cafe Houston,29.7627018,-95.3673965,Theme Restaurant
366,Theater District,29.761993,-95.366302,Conservatory,29.760427,-95.36157,Beer Garden
367,Theater District,29.761993,-95.366302,Zilkha Hall,29.761531794408903,-95.36883101307693,Concert Hall
368,Theater District,29.761993,-95.366302,La Fisheria,29.763684443834443,-95.36218621584267,Mexican Restaurant
369,Theater District,29.761993,-95.366302,5411 Empanadas,29.758986,-95.36859,Empanada Restaurant
370,Theater District,29.761993,-95.366302,JW Marriott Houston Downtown,29.7583321,-95.3640592,Hotel
371,Theater District,29.761993,-95.366302,Shake Shack,29.759176,-95.36335,Burger Joint
372,Theater District,29.761993,-95.366302,Goode Co. Taqueria,29.759029,-95.364181,Taco Place
373,Theater District,29.761993,-95.366302,Downtown Aquarium,29.76427027070077,-95.3673791885376,Aquarium
374,Theater District,29.761993,-95.366302,The Original OKRA Charity Saloon,29.762345183648176,-95.36124908454741,Cocktail Bar
375,Theater District,29.761993,-95.366302,Niko Niko's,29.762626242021476,-95.36210097529467,Greek Restaurant
376,Theater District,29.761993,-95.366302,Azuma Sushi & Robata Bar,29.760168457600827,-95.36296529770571,Japanese Restaurant
377,Theater District,29.761993,-95.366302,Bovine & Barley,29.76100379693895,-95.3619186441427,Gastropub
378,Theater District,29.761993,-95.366302,JPMorgan Chase Tower,29.760241902125625,-95.36390868948274,Bank
379,Theater District,29.761993,-95.366302,Hermann Square,29.759799546324516,-95.36854325816647,Park
380,Theater District,29.761993,-95.366302,Barnaby's Cafe,29.763241691061875,-95.36239097852939,Café
381,Theater District,29.761993,-95.366302,El Big Bad,29.761239807531354,-95.36266274021814,Mexican Restaurant
382,Theater District,29.761993,-95.366302,Char Bar,29.762598543087847,-95.36177880685885,Bar
383,Theater District,29.761993,-95.366302,Dimassi's Mediterranean Buffet,29.758283056150198,-95.36591499676368,Mediterranean Restaurant
384,Theater District,29.761993,-95.366302,Batanga,29.762524982578825,-95.36144003983192,Latin American Restaurant
385,Theater District,29.761993,-95.366302,Otto's BBQ,29.760247671887775,-95.3641145113973,BBQ Joint
386,Theater District,29.761993,-95.366302,The Moonshiners Southern Table + Bar,29.760661679187045,-95.36193038831519,Southern / Soul Food Restaurant
387,Theater District,29.761993,-95.366302,Dean's Downtown,29.761683090059513,-95.36114572719661,Bar
388,Theater District,29.761993,-95.366302,CVS pharmacy,29.763184,-95.362728,Pharmacy
389,Theater District,29.761993,-95.366302,Tongue-Cut Sparrow,29.762213147856496,-95.36140864517033,Cocktail Bar
390,Theater District,29.761993,-95.366302,Lone Star Taco Co.,29.75991427897547,-95.36246599058904,Taco Place
391,Theater District,29.761993,-95.366302,Churrasco To Go,29.760129682194897,-95.36842060901257,Food Truck
392,Theater District,29.761993,-95.366302,Henke & Pillot,29.763101480352578,-95.36202532179416,Lounge
393,Theater District,29.761993,-95.366302,Starbucks,29.763345537686273,-95.36418426278496,Coffee Shop
394,Theater District,29.761993,-95.366302,Sambuca,29.760531884493023,-95.36333483525709,New American Restaurant
395,Theater District,29.761993,-95.366302,El Burro & The Bull,29.760446713850953,-95.36163498611974,BBQ Joint
396,Theater District,29.761993,-95.366302,Crystal Ballroom @ The Rice Hotel,29.760076204862887,-95.36280536024498,Hotel Bar
397,Theater District,29.761993,-95.366302,Padthai Thai Restaurant,29.762710058198117,-95.36430391791433,Thai Restaurant
398,Theater District,29.761993,-95.366302,Bravery Chef Hall,29.761564,-95.362132,Food Court
399,Theater District,29.761993,-95.366302,ēT Premium Grill,29.760249943558897,-95.36414619859939,Burger Joint
400,Theater District,29.761993,-95.366302,BirdDog Saint,29.7605099001538,-95.36237686872482,Bar
401,Theater District,29.761993,-95.366302,Market Square Bar & Grill,29.7624723151057,-95.36206710683173,Burger Joint
402,Theater District,29.761993,-95.366302,Warren's Inn,29.76257385844752,-95.36175382725027,Bar
403,Theater District,29.761993,-95.366302,Chipotle Mexican Grill,29.76023602568847,-95.36261549538631,Mexican Restaurant
404,Theater District,29.761993,-95.366302,The Wine Cellar Wine & Mezza Bar,29.762459999999997,-95.367819,Wine Bar
405,Theater District,29.761993,-95.366302,The Houston Club,29.759111771618706,-95.3675648967634,Restaurant
406,Theater District,29.761993,-95.366302,Aquarium Restaurant,29.764290449858464,-95.36737248301506,Seafood Restaurant
407,Theater District,29.761993,-95.366302,Minuti Coffee,29.760097511258376,-95.36283734935914,Coffee Shop
408,Theater District,29.761993,-95.366302,Tacos A Go Go,29.759124864389648,-95.36752499599292,Taco Place
409,Theater District,29.761993,-95.366302,Jimmy John's,29.758028392243542,-95.36398866805777,Sandwich Place
410,Theater District,29.761993,-95.366302,Sandwich & Tapioca,29.760027604415562,-95.36248820418245,Vietnamese Restaurant
411,Theater District,29.761993,-95.366302,Prohibition Supperclub & Bar,29.760660428847853,-95.36168973301417,New American Restaurant
412,Theater District,29.761993,-95.366302,The Commoner,29.76122730675275,-95.36158838179325,Cocktail Bar
413,Theater District,29.761993,-95.366302,Houston Tunnels,29.758459732459887,-95.36529314363584,Shopping Mall
414,Theater District,29.761993,-95.366302,Cafe Express,29.759298673347665,-95.3630256503292,Café
415,Theater District,29.761993,-95.366302,Shay McElroy's Irish Pub,29.76027818212674,-95.36232599766967,Bar
416,Theater District,29.761993,-95.366302,Which Wich - Kinder Morgan Building,29.758183169234115,-95.36784470549898,Sandwich Place
417,Theater District,29.761993,-95.366302,SUBWAY,29.761289,-95.3612061,Sandwich Place
418,Theater District,29.761993,-95.366302,Red Cat Jazz Cafe,29.764206898458696,-95.36217626777284,Jazz Club
419,Theater District,29.761993,-95.366302,Boots 'n Shoots,29.76064955606217,-95.36217156489545,Bar
420,Theater District,29.761993,-95.366302,Byrd's Market & Cafe,29.760885743385156,-95.3619716748102,American Restaurant
421,Theater District,29.761993,-95.366302,Molly's Pub,29.760387739426893,-95.36218583949794,Pub
422,Theater District,29.761993,-95.366302,The Big Bubble,29.764155873182688,-95.36586098687988,Sculpture Garden
423,Theater District,29.761993,-95.366302,Live Sports Bar & Grill,29.760975593419534,-95.36143351707058,Sports Bar
424,Theater District,29.761993,-95.366302,The Golden Grill,29.76363872445145,-95.36237024097481,Food Truck
425,Theater District,29.761993,-95.366302,Amc Houston 8,29.761586901400825,-95.36640849256486,Movie Theater
426,Theater District,29.761993,-95.366302,The Boulevardier,29.761215998091735,-95.36155826338202,Lounge
427,Theater District,29.761993,-95.366302,Peter Pan @ The Hobby Center,29.76186941045462,-95.37020630965453,Theater
428,Theater District,29.761993,-95.366302,Base,29.763368,-95.361738,Nightclub
429,Theater District,29.761993,-95.366302,Samurai Noodle,29.760461,-95.361606,Asian Restaurant
430,Warehouse District,29.7671,-95.3551,Last Concert Cafe,29.76836035081829,-95.35295843978439,Mexican Restaurant
431,Warehouse District,29.7671,-95.3551,Theodore Rex,29.76812395855165,-95.35420613117145,Restaurant
432,Warehouse District,29.7671,-95.3551,toasters cafe,29.766890290290217,-95.35620399751416,Café
433,Warehouse District,29.7671,-95.3551,Studio 1306,29.768137321735015,-95.35394173277982,Photography Studio
434,Warehouse District,29.7671,-95.3551,Sterrett Street Studios,29.767600575368483,-95.35328530061392,Music Venue
435,Warehouse District,29.7671,-95.3551,Chick-fil-A,29.766265,-95.35901,Food Service
436,Warehouse District,29.7671,-95.3551,The Catastrophic Theatre,29.76950882804244,-95.35667994804702,Performing Arts Venue
437,Warehouse District,29.7671,-95.3551,Starbucks,29.76596592,-95.35906361,Coffee Shop
438,Warehouse District,29.7671,-95.3551,Walter's on Naylor Street,29.76981411491913,-95.35752389986193,Music Venue
439,Warehouse District,29.7671,-95.3551,Hardy Street Studios,29.768823664117527,-95.35104439609447,Art Gallery
440,Warehouse District,29.7671,-95.3551,motherdog studios,29.76713869968866,-95.35494387591443,Art Gallery
441,Warehouse District,29.7671,-95.3551,Smoothie King - Temporarily Closed,29.76627613,-95.35894656,Smoothie Shop
442,Warehouse District,29.7671,-95.3551,Subway,29.766086,-95.360119,Sandwich Place
443,Warehouse District,29.7671,-95.3551,Eastdown Warehouse,29.768271239309275,-95.35185036739469,Warehouse
444,Warehouse District,29.7671,-95.3551,Tracey Bautista Art studio,29.768876,-95.350964,Art Gallery
445,Warehouse District,29.7671,-95.3551,James Bute Park,29.763794548004572,-95.35166100994329,Park
446,Bellaire,29.7058,-95.4588,CVS pharmacy,29.70537080522144,-95.45917535823301,Pharmacy
447,Bellaire,29.7058,-95.4588,Radio Shack,29.708705013112144,-95.46033212519993,Electronics Store
448,Braeburn,29.6733,-95.4399,Super La Mexicana,29.672856,-95.440287,Restaurant
449,Braeburn,29.6733,-95.4399,The Zone,29.669360291858336,-95.43778088963434,Athletics & Sports
450,Braeburn,29.6733,-95.4399,SFL Football Fields,29.673723535216777,-95.43688905646226,Soccer Field
451,Braeburn,29.6733,-95.4399,Tamales Don Pepe,29.677198999999998,-95.439219,Mexican Restaurant
452,EaDo,29.7363,-95.3043,Wingstop,29.735855090165735,-95.30514266422124,Wings Joint
453,EaDo,29.7363,-95.3043,Satellite Bar,29.7358268,-95.303531,Music Venue
454,EaDo,29.7363,-95.3043,Walgreens,29.736232905657925,-95.3071528673172,Pharmacy
455,EaDo,29.7363,-95.3043,China 101 Express,29.735622999999997,-95.300832,Chinese Restaurant
456,EaDo,29.7363,-95.3043,Whataburger,29.735818573844284,-95.30374337732894,Burger Joint
457,EaDo,29.7363,-95.3043,T-Mobile,29.735622999999997,-95.300832,Mobile Phone Shop
458,EaDo,29.7363,-95.3043,Chase Bank,29.73515922610632,-95.30651181936264,Bank
459,EaDo,29.7363,-95.3043,Connie's Seafood,29.734389852173937,-95.30638583704493,Seafood Restaurant
460,EaDo,29.7363,-95.3043,SUBWAY,29.735822950197377,-95.30597317944773,Sandwich Place
461,EaDo,29.7363,-95.3043,Popeyes Louisiana Kitchen,29.736538,-95.303795,Fried Chicken Joint
462,EaDo,29.7363,-95.3043,Little Caesars Pizza,29.73654625240247,-95.3069003398557,Pizza Place
463,EaDo,29.7363,-95.3043,El Alteno Taqueria,29.736465446345903,-95.30346826594517,Mexican Restaurant
464,EaDo,29.7363,-95.3043,Burger King,29.7368642,-95.3073901,Fast Food Restaurant
465,EaDo,29.7363,-95.3043,M & M's,29.738088075080483,-95.30560744847595,Burger Joint
466,EaDo,29.7363,-95.3043,Taqueria Los Charros,29.737616999999997,-95.307508,Mexican Restaurant
467,EaDo,29.7363,-95.3043,Turimex Internacional Bus Service,29.735622999999997,-95.300832,Bus Station
468,EaDo,29.7363,-95.3043,Box13 Artspace,29.73733572409099,-95.30819748050354,Art Gallery
469,EaDo,29.7363,-95.3043,Garza Maria Aleida,29.735045,-95.29941600000001,Food
470,Fifth Ward,29.7801,-95.3271,FIFTH WARD FINEST,29.777790999999997,-95.325061,Park
471,Uptown,29.7392,-95.4645,Saks Fifth Avenue,29.73904078196484,-95.4663778934939,Department Store
472,Uptown,29.7392,-95.4645,Gucci,29.738981,-95.463158,Women's Store
473,Uptown,29.7392,-95.4645,Del Frisco's Double Eagle Steak House,29.7401119,-95.4637302,Steakhouse
474,Uptown,29.7392,-95.4645,Shake Shack,29.739669660759766,-95.46268317752819,Burger Joint
475,Uptown,29.7392,-95.4645,SEPHORA,29.739045,-95.463668,Cosmetics Shop
476,Uptown,29.7392,-95.4645,Visible Changes (inside Galleria 1),29.739424963570407,-95.46221845899962,Health & Beauty Service
477,Uptown,29.7392,-95.4645,H&M,29.7375778,-95.464186,Clothing Store
478,Uptown,29.7392,-95.4645,Blanco Tacos + Tequila,29.740006186482475,-95.46545753889224,Taco Place
479,Uptown,29.7392,-95.4645,The Cheesecake Factory,29.739925539735868,-95.46262256047223,American Restaurant
480,Uptown,29.7392,-95.4645,Apple Houston Galleria,29.7388402,-95.464699,Electronics Store
481,Uptown,29.7392,-95.4645,Peli Peli,29.739755437455607,-95.4641389723599,African Restaurant
482,Uptown,29.7392,-95.4645,lululemon athletica,29.737651,-95.464042,Clothing Store
483,Uptown,29.7392,-95.4645,Victoria's Secret PINK,29.739600598191373,-95.46421766281127,Lingerie Store
484,Uptown,29.7392,-95.4645,Louis Vuitton,29.7394814,-95.4634385,Boutique
485,Uptown,29.7392,-95.4645,Banana Republic,29.737804,-95.464051,Clothing Store
486,Uptown,29.7392,-95.4645,51fifteen Restaurant and Lounge,29.73974723033242,-95.46562668855752,American Restaurant
487,Uptown,29.7392,-95.4645,Hyatt Regency Houston/Galleria,29.738496998494913,-95.46689005459724,Hotel
488,Uptown,29.7392,-95.4645,Chick-fil-A,29.7390231,-95.4630836,Fast Food Restaurant
489,Uptown,29.7392,-95.4645,Salata,29.7389462,-95.4622797,Salad Place
490,Uptown,29.7392,-95.4645,Disney store,29.739517,-95.463582,Toy / Game Store
491,Uptown,29.7392,-95.4645,Macy's,29.737893463506403,-95.46436099175105,Department Store
492,Uptown,29.7392,-95.4645,Nobu,29.739941778260043,-95.46551994498031,Japanese Restaurant
493,Uptown,29.7392,-95.4645,The Galleria,29.7368358,-95.4636925,Shopping Mall
494,Uptown,29.7392,-95.4645,Bath & Body Works,29.738998533538354,-95.46434597527713,Cosmetics Shop
495,Uptown,29.7392,-95.4645,The LEGO Store,29.739335692294436,-95.46288756383571,Toy / Game Store
496,Uptown,29.7392,-95.4645,The Oceanaire,29.7402109,-95.463729,Seafood Restaurant
497,Uptown,29.7392,-95.4645,JW Marriott Executive Lounge,29.74095565013891,-95.46640808874663,Hotel Bar
498,Uptown,29.7392,-95.4645,Ermenegildo Zegna,29.73916853490339,-95.46205060423917,Men's Store
499,Uptown,29.7392,-95.4645,Tiffany & Co.,29.7395729,-95.4617685,Jewelry Store
500,Uptown,29.7392,-95.4645,JW Marriott Houston,29.7407647,-95.4666946,Hotel
501,Uptown,29.7392,-95.4645,Westin Oaks Houston at The Galleria,29.740011583114004,-95.46226351532503,Hotel
502,Uptown,29.7392,-95.4645,Yauatcha,29.74015405379134,-95.46252522156615,Dim Sum Restaurant
503,Uptown,29.7392,-95.4645,Topshop,29.73949767541862,-95.46457953413177,Women's Store
504,Uptown,29.7392,-95.4645,Creamistry,29.741667805590424,-95.46286028513232,Ice Cream Shop
505,Uptown,29.7392,-95.4645,CHANEL Boutique,29.73903325318694,-95.46184434295691,Boutique
506,Uptown,29.7392,-95.4645,Fig & Olive,29.7396815,-95.4656491,Food Service
507,Uptown,29.7392,-95.4645,Grand Lux Cafe,29.741350269818714,-95.4627661394815,American Restaurant
508,Uptown,29.7392,-95.4645,adidas Sport Performance,29.7367822,-95.4638973,Sporting Goods Shop
509,Uptown,29.7392,-95.4645,la Madeleine French Bakery & Café Houston Galleria,29.739453,-95.462798,French Restaurant
510,Uptown,29.7392,-95.4645,Montblanc Boutique,29.739304725170687,-95.46372291587848,Paper / Office Supplies Store
511,Uptown,29.7392,-95.4645,Neiman Marcus,29.7393495326864,-95.46133454686061,Department Store
512,Uptown,29.7392,-95.4645,Potbelly Sandwich Shop,29.739028,-95.462589,Sandwich Place
513,Uptown,29.7392,-95.4645,Life Time Tennis and Athletic Galleria,29.73925371149228,-95.46273606103017,Tennis Court
514,Uptown,29.7392,-95.4645,Nordstrom,29.735874522408228,-95.46420291361547,Clothing Store
515,Uptown,29.7392,-95.4645,Aldo,29.737703,-95.464457,Shoe Store
516,Uptown,29.7392,-95.4645,Galleria Nails,29.74140582957134,-95.46195227139764,Nail Salon
517,Uptown,29.7392,-95.4645,Nordstrom Rack,29.742129786691578,-95.4631769657135,Department Store
518,Uptown,29.7392,-95.4645,Madewell,29.7378384,-95.4644735,Women's Store
519,Uptown,29.7392,-95.4645,Zara,29.739190136802872,-95.46363163205233,Clothing Store
520,Uptown,29.7392,-95.4645,European Wax Center,29.74160341448874,-95.46230681790078,Health & Beauty Service
521,Uptown,29.7392,-95.4645,Hollister Co.,29.73931845665188,-95.46294601575975,Clothing Store
522,Uptown,29.7392,-95.4645,Daily Grill,29.738573,-95.464674,American Restaurant
523,Uptown,29.7392,-95.4645,GameStop,29.73931646805778,-95.46438932418823,Video Game Store
524,Uptown,29.7392,-95.4645,Fossil Store,29.739201523000446,-95.46409814256018,Accessories Store
525,Uptown,29.7392,-95.4645,Godiva Chocolatier,29.738249,-95.4645366,Chocolate Shop
526,Uptown,29.7392,-95.4645,Pinkberry,29.73746,-95.464226,Frozen Yogurt Shop
527,Uptown,29.7392,-95.4645,Nordstrom Houston Galleria,29.735917705459496,-95.46420326175895,Clothing Store
528,Uptown,29.7392,-95.4645,Morton's The Steakhouse,29.741795754601107,-95.46179082255549,Steakhouse
529,Uptown,29.7392,-95.4645,Sage 400 Japanese Cuisine,29.737758626190804,-95.46758117761921,Sushi Restaurant
530,Uptown,29.7392,-95.4645,Chipotle Mexican Grill,29.739347226058978,-95.46249714413472,Mexican Restaurant
531,Uptown,29.7392,-95.4645,J.Crew,29.7400264,-95.4645581,Clothing Store
532,Uptown,29.7392,-95.4645,Walgreens,29.7409721,-95.4677254,Pharmacy
533,Uptown,29.7392,-95.4645,Nordstrom Ebar,29.735797379763195,-95.46441882848745,Coffee Shop
534,Uptown,29.7392,-95.4645,Galleria Plaza II,29.740428922266716,-95.46435027770745,Office
535,Uptown,29.7392,-95.4645,Starbucks,29.739190705282642,-95.46205043792725,Coffee Shop
